output_name,rf__max_depth,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,score
map50,,1,2,200,0.912255883594172
map50_95,10.0,2,2,200,0.8651402402928448
map75,,1,2,200,0.8804218742603632
map50,,1,2,200,0.912255883594172
map50_95,10.0,2,2,200,0.8651402402928448
map75,,1,2,200,0.8804218742603632
map50,10.0,1,2,200,0.904939777918047
map50_95,,2,2,200,0.8617560569774906
map75,10.0,1,2,200,0.8739572785093326
map50,,1,2,200,0.9122558835941719
map50_95,10,2,2,200,0.8651402402928448
map75,,1,2,200,0.8804218742603632
